fid1	Id1	fid2	Id2	ibd
tsk_1	tsk_1	tsk_503	tsk_503	0.10628899759090818
tsk_1	tsk_1	tsk_507	tsk_507	0.07296545188823415
tsk_1	tsk_1	tsk_523	tsk_523	0.11852731749961629
tsk_1	tsk_1	tsk_533	tsk_533	0.06292868153941635
tsk_1	tsk_1	tsk_564	tsk_564	0.06970350152486837
tsk_1	tsk_1	tsk_594	tsk_594	0.09578909435498402
tsk_1	tsk_1	tsk_603	tsk_603	0.06292868153941635
tsk_1	tsk_1	tsk_605	tsk_605	0.05811383459349078
tsk_1	tsk_1	tsk_622	tsk_622	0.05811383459349078
tsk_1	tsk_1	tsk_623	tsk_623	0.05802374390219488
tsk_1	tsk_1	tsk_625	tsk_625	0.06186427670521658
tsk_1	tsk_1	tsk_635	tsk_635	0.06057698082736621
tsk_1	tsk_1	tsk_650	tsk_650	0.0580210745483787
tsk_1	tsk_1	tsk_674	tsk_674	0.06502412428511369
tsk_1	tsk_1	tsk_684	tsk_684	0.060097831817362814
tsk_1	tsk_1	tsk_692	tsk_692	0.05811383459349078
tsk_1	tsk_1	tsk_708	tsk_708	0.054957323705863904
tsk_1	tsk_1	tsk_731	tsk_731	0.06057698082736621
tsk_1	tsk_1	tsk_743	tsk_743	0.07296545188823415
tsk_1	tsk_1	tsk_754	tsk_754	0.07237085332568119
tsk_1	tsk_1	tsk_776	tsk_776	0.05802374390219488
tsk_1	tsk_1	tsk_795	tsk_795	0.07296545188823415
tsk_1	tsk_1	tsk_806	tsk_806	0.06906686063971064
tsk_1	tsk_1	tsk_817	tsk_817	0.05802374390219488
tsk_1	tsk_1	tsk_847	tsk_847	0.07237085332568119
tsk_1	tsk_1	tsk_852	tsk_852	0.03647471788266855
tsk_1	tsk_1	tsk_907	tsk_907	0.07645696667979099
tsk_1	tsk_1	tsk_912	tsk_912	0.08334990557160875
tsk_1	tsk_1	tsk_916	tsk_916	0.12637922174989488
tsk_1	tsk_1	tsk_919	tsk_919	0.07142723675166335
tsk_1	tsk_1	tsk_926	tsk_926	0.048661652730415283
tsk_1	tsk_1	tsk_967	tsk_967	0.05770876015188623
tsk_1	tsk_1	tsk_969	tsk_969	0.05811383459349078
tsk_1	tsk_1	tsk_978	tsk_978	0.05770876015188623
tsk_1	tsk_1	tsk_984	tsk_984	0.10212747499149144
tsk_1	tsk_1	tsk_999	tsk_999	0.06195103070424227
tsk_2	tsk_2	tsk_8	tsk_8	0.03736161068809268
tsk_2	tsk_2	tsk_18	tsk_18	0.048721045852825176
tsk_2	tsk_2	tsk_19	tsk_19	0.03736161068809268
tsk_2	tsk_2	tsk_25	tsk_25	0.08669927727245427
tsk_2	tsk_2	tsk_32	tsk_32	0.03459215610381117
tsk_2	tsk_2	tsk_35	tsk_35	0.25542179126987835
tsk_2	tsk_2	tsk_57	tsk_57	0.07375157658709768
tsk_2	tsk_2	tsk_59	tsk_59	0.03971998478468325
tsk_2	tsk_2	tsk_65	tsk_65	0.03971998478468325
tsk_2	tsk_2	tsk_68	tsk_68	0.04357119500296966
tsk_2	tsk_2	tsk_69	tsk_69	0.1506316358467524
tsk_2	tsk_2	tsk_77	tsk_77	0.038110364433529755
tsk_2	tsk_2	tsk_106	tsk_106	0.04013640398000654
tsk_2	tsk_2	tsk_107	tsk_107	0.11663541298240228
tsk_2	tsk_2	tsk_181	tsk_181	0.09992592543160114
tsk_2	tsk_2	tsk_199	tsk_199	0.03971998478468325
tsk_2	tsk_2	tsk_215	tsk_215	0.07881467343792752
tsk_2	tsk_2	tsk_222	tsk_222	0.11484227455638676
tsk_2	tsk_2	tsk_225	tsk_225	0.06339648579570101
tsk_2	tsk_2	tsk_232	tsk_232	0.03971998478468325
tsk_2	tsk_2	tsk_257	tsk_257	0.0521071211686431
tsk_2	tsk_2	tsk_264	tsk_264	0.1545682653871564
tsk_2	tsk_2	tsk_290	tsk_290	0.034865764869969104
tsk_2	tsk_2	tsk_291	tsk_291	0.18595319288083337
tsk_2	tsk_2	tsk_299	tsk_299	0.07375157658709768
tsk_2	tsk_2	tsk_304	tsk_304	0.03971998478468325
tsk_2	tsk_2	tsk_308	tsk_308	0.08669927727245427
tsk_2	tsk_2	tsk_314	tsk_314	0.06708019406202244
tsk_2	tsk_2	tsk_328	tsk_328	0.0521071211686431
tsk_2	tsk_2	tsk_361	tsk_361	0.0521071211686431
tsk_2	tsk_2	tsk_365	tsk_365	0.09182710595332635
tsk_2	tsk_2	tsk_366	tsk_366	0.06788033286842088
tsk_2	tsk_2	tsk_369	tsk_369	0.03971998478468325
tsk_2	tsk_2	tsk_372	tsk_372	0.20564301396739385
tsk_2	tsk_2	tsk_379	tsk_379	0.03971998478468325
tsk_2	tsk_2	tsk_390	tsk_390	0.0521071211686431
tsk_2	tsk_2	tsk_441	tsk_441	0.09769434564127889
tsk_2	tsk_2	tsk_445	tsk_445	0.11177585436005578
tsk_2	tsk_2	tsk_452	tsk_452	0.05194429058585643
tsk_2	tsk_2	tsk_456	tsk_456	0.19123784609840572
tsk_2	tsk_2	tsk_463	tsk_463	0.04357119500296966
tsk_2	tsk_2	tsk_472	tsk_472	0.0521071211686431
tsk_2	tsk_2	tsk_486	tsk_486	0.07795981287829748
tsk_2	tsk_2	tsk_500	tsk_500	0.07821874019846646
tsk_2	tsk_2	tsk_539	tsk_539	0.053451140815087186
tsk_2	tsk_2	tsk_554	tsk_554	0.09144538835761333
tsk_2	tsk_2	tsk_558	tsk_558	0.03971998478468325
tsk_2	tsk_2	tsk_577	tsk_577	0.11177585436005578
tsk_2	tsk_2	tsk_583	tsk_583	0.17679664195289926
tsk_2	tsk_2	tsk_610	tsk_610	0.04224185680251453
tsk_2	tsk_2	tsk_633	tsk_633	0.04357119500296966
tsk_2	tsk_2	tsk_647	tsk_647	0.13060013747172153
tsk_2	tsk_2	tsk_657	tsk_657	0.048721045852825176
tsk_2	tsk_2	tsk_674	tsk_674	0.03971998478468325
tsk_2	tsk_2	tsk_682	tsk_682	0.03971998478468325
tsk_2	tsk_2	tsk_693	tsk_693	0.03971998478468325
tsk_2	tsk_2	tsk_696	tsk_696	0.3857676727906092
tsk_2	tsk_2	tsk_710	tsk_710	0.05194429058585643
tsk_2	tsk_2	tsk_718	tsk_718	0.03653477834353249
tsk_2	tsk_2	tsk_744	tsk_744	0.23539563160247984
tsk_2	tsk_2	tsk_765	tsk_765	0.0521071211686431
tsk_2	tsk_2	tsk_779	tsk_779	0.44404100127461643
tsk_2	tsk_2	tsk_791	tsk_791	0.09992592543160114
tsk_2	tsk_2	tsk_797	tsk_797	0.03971998478468325
tsk_2	tsk_2	tsk_845	tsk_845	0.2098992986272848
tsk_2	tsk_2	tsk_858	tsk_858	0.09741940219821286
tsk_2	tsk_2	tsk_859	tsk_859	0.03971998478468325
tsk_2	tsk_2	tsk_869	tsk_869	0.38208930323192014
tsk_2	tsk_2	tsk_877	tsk_877	0.2429405601638983
tsk_2	tsk_2	tsk_885	tsk_885	0.0521071211686431
tsk_2	tsk_2	tsk_888	tsk_888	0.14094988955548585
tsk_2	tsk_2	tsk_903	tsk_903	0.034865764869969104
tsk_2	tsk_2	tsk_906	tsk_906	0.0521071211686431
tsk_2	tsk_2	tsk_920	tsk_920	0.480577114295057
tsk_3	tsk_3	tsk_12	tsk_12	0.06836348590914855
tsk_3	tsk_3	tsk_14	tsk_14	0.04735633871430574
tsk_3	tsk_3	tsk_15	tsk_15	0.1869074868701159
tsk_3	tsk_3	tsk_27	tsk_27	0.04823121942755707
tsk_3	tsk_3	tsk_31	tsk_31	0.09787719637768687
tsk_3	tsk_3	tsk_38	tsk_38	0.11549760091825771
tsk_3	tsk_3	tsk_40	tsk_40	0.05240542145760065
tsk_3	tsk_3	tsk_51	tsk_51	0.04882314863629387
tsk_3	tsk_3	tsk_64	tsk_64	0.10410613350773111
tsk_3	tsk_3	tsk_79	tsk_79	0.04882314863629387
tsk_3	tsk_3	tsk_84	tsk_84	0.03767525976149324
tsk_3	tsk_3	tsk_99	tsk_99	0.09272734552783135
tsk_3	tsk_3	tsk_105	tsk_105	0.05087654905938645
tsk_3	tsk_3	tsk_124	tsk_124	0.10471808287008923
tsk_3	tsk_3	tsk_130	tsk_130	0.056579623487644226
tsk_3	tsk_3	tsk_139	tsk_139	0.03767525976149324
tsk_3	tsk_3	tsk_150	tsk_150	0.13263285040273876
tsk_3	tsk_3	tsk_157	tsk_157	0.13861420496633278
tsk_3	tsk_3	tsk_160	tsk_160	0.13263285040273876
tsk_3	tsk_3	tsk_193	tsk_193	0.07881467343792752
tsk_3	tsk_3	tsk_207	tsk_207	0.05240542145760065
tsk_3	tsk_3	tsk_208	tsk_208	0.05240542145760065
tsk_3	tsk_3	tsk_215	tsk_215	0.048004991691636245
tsk_3	tsk_3	tsk_217	tsk_217	0.060119853986346256
tsk_3	tsk_3	tsk_220	tsk_220	0.07881467343792752
tsk_3	tsk_3	tsk_228	tsk_228	0.13979205733771996
tsk_3	tsk_3	tsk_271	tsk_271	0.3641499109103164
tsk_3	tsk_3	tsk_293	tsk_293	0.13263285040273876
tsk_3	tsk_3	tsk_302	tsk_302	0.14766665109543609
tsk_3	tsk_3	tsk_327	tsk_327	0.07881467343792752
tsk_3	tsk_3	tsk_360	tsk_360	0.09850716387830416
tsk_3	tsk_3	tsk_370	tsk_370	0.08460516920366502
tsk_3	tsk_3	tsk_379	tsk_379	0.13263285040273876
tsk_3	tsk_3	tsk_382	tsk_382	0.059566630407944
tsk_3	tsk_3	tsk_389	tsk_389	0.1318140261196271
tsk_3	tsk_3	tsk_394	tsk_394	0.03767525976149324
tsk_3	tsk_3	tsk_398	tsk_398	0.04237999586250159
tsk_3	tsk_3	tsk_401	tsk_401	0.0521071211686431
tsk_3	tsk_3	tsk_405	tsk_405	0.10410613350773111
tsk_3	tsk_3	tsk_410	tsk_410	0.0521071211686431
tsk_3	tsk_3	tsk_415	tsk_415	0.06836348590914855
tsk_3	tsk_3	tsk_429	tsk_429	0.07408257646030338
tsk_3	tsk_3	tsk_440	tsk_440	0.07773225046546857
tsk_3	tsk_3	tsk_444	tsk_444	0.05732704255617321
tsk_3	tsk_3	tsk_451	tsk_451	0.05240542145760065
tsk_3	tsk_3	tsk_466	tsk_466	0.1408057444494124
tsk_3	tsk_3	tsk_467	tsk_467	0.07408257646030338
tsk_3	tsk_3	tsk_496	tsk_496	0.05122089570167302
tsk_3	tsk_3	tsk_499	tsk_499	0.10678883409298694
tsk_3	tsk_3	tsk_510	tsk_510	0.10410613350773111
tsk_3	tsk_3	tsk_557	tsk_557	0.1355644682313529
tsk_3	tsk_3	tsk_562	tsk_562	0.0510040107041088
tsk_3	tsk_3	tsk_566	tsk_566	0.07088869461925004
tsk_3	tsk_3	tsk_570	tsk_570	0.05465902341690635
tsk_3	tsk_3	tsk_579	tsk_579	0.0521071211686431
tsk_3	tsk_3	tsk_582	tsk_582	0.04882314863629387
tsk_3	tsk_3	tsk_586	tsk_586	0.03767525976149324
tsk_3	tsk_3	tsk_588	tsk_588	0.08460516920366502
tsk_3	tsk_3	tsk_589	tsk_589	0.05240542145760065
tsk_3	tsk_3	tsk_595	tsk_595	0.04882314863629387
tsk_3	tsk_3	tsk_599	tsk_599	0.1191913192613898
tsk_3	tsk_3	tsk_605	tsk_605	0.1305187221803282
tsk_3	tsk_3	tsk_607	tsk_607	0.13746037677929115
tsk_3	tsk_3	tsk_610	tsk_610	0.03767525976149324
tsk_3	tsk_3	tsk_617	tsk_617	0.07821874019846646
tsk_3	tsk_3	tsk_623	tsk_623	0.2427510360429499
tsk_3	tsk_3	tsk_640	tsk_640	0.10539409672403553
