p1	p2	dcifer
SPT35459	SPT35471	0
SPT35459	SPT35509	0
SPT35459	SPT35551	0
SPT35459	SPT35556	0
SPT35459	SPT35564	0.018
SPT35459	SPT35566	0
SPT35459	SPT35587	0
SPT35459	SPT35673	0
SPT35459	SPT35681	0.007
SPT35459	SPT35752	0
SPT35459	SPT35334	0
SPT35459	SPT35469	0
SPT35459	SPT35332	0
SPT35459	SPT35351	0
SPT35459	SPT35355	0.002
SPT35459	SPT35420	0
SPT35459	SPT35502	0
SPT35459	SPT35412	0
SPT35459	SPT35446	0
SPT35459	SPT35450	0
SPT35459	SPT35474	0
SPT35459	SPT35503	0
SPT35459	SPT35571	0
SPT35459	SPT35575	0
SPT35459	SPT35592	0
SPT35459	SPT35766	0
SPT35459	SPT35500	0
SPT35459	SPT35508	0
SPT35459	SPT35313	0
SPT35459	SPT35328	0
SPT35459	SPT35330	0
SPT35459	SPT35362	0.005
SPT35459	SPT35430	0.002
SPT35459	SPT35431	0.008
SPT35459	SPT35453	0
SPT35459	SPT35317	0
SPT35459	SPT35318	0
SPT35459	SPT35320	0
SPT35459	SPT35321	0
SPT35459	SPT35322	0
SPT35459	SPT35333	0.007
SPT35459	SPT35341	0
SPT35459	SPT35342	0
SPT35459	SPT35346	0
SPT35459	SPT35347	0
SPT35459	SPT35352	0
SPT35459	SPT35361	0
SPT35459	SPT35363	0.02
SPT35459	SPT35389	0
SPT35459	SPT35425	0.007
SPT35459	SPT35435	0
SPT35459	SPT35443	0
SPT35459	SPT35447	0.023
SPT35459	SPT35448	0
SPT35459	SPT35449	0
SPT35459	SPT35458	0.996
SPT35459	SPT35461	0.997
SPT35459	SPT35462	0
SPT35459	SPT35463	0.001
SPT35459	SPT35487	0
SPT35459	SPT35501	0
SPT35459	SPT35510	0.016
SPT35459	SPT35511	0
SPT35459	SPT35514	0
SPT35459	SPT35515	0
SPT35459	SPT35516	0
SPT35459	SPT35517	0
SPT35459	SPT35518	0.028
SPT35459	SPT35519	0
SPT35459	SPT35520	0.004
SPT35459	SPT35521	0.013
SPT35459	SPT35522	0
SPT35459	SPT35523	0
SPT35459	SPT35524	0
SPT35459	SPT35525	0
SPT35459	SPT35526	0
SPT35459	SPT35529	0
SPT35459	SPT35532	0
SPT35459	SPT35537	0
SPT35459	SPT35538	0
SPT35459	SPT35541	0.002
SPT35459	SPT35543	0
SPT35459	SPT35544	0.014
SPT35459	SPT35546	0
SPT35459	SPT35547	0
SPT35459	SPT35552	0
SPT35459	SPT35553	0.012
SPT35459	SPT35557	0
SPT35459	SPT35561	0
SPT35459	SPT35563	0
SPT35459	SPT35567	0
SPT35459	SPT35576	0
SPT35459	SPT35577	0
SPT35459	SPT35580	0.018
SPT35459	SPT35583	0.031
SPT35459	SPT35584	0
SPT35459	SPT35585	0
SPT35459	SPT35302	0
SPT35459	SPT35303	0
SPT35459	SPT35304	0
SPT35459	SPT35306	0
SPT35459	SPT35308	0
SPT35459	SPT35310	0
SPT35459	SPT35315	0
SPT35459	SPT35325	0
SPT35459	SPT35336	0
SPT35459	SPT35337	0
SPT35459	SPT35338	0
SPT35459	SPT35340	0
SPT35459	SPT35348	0
SPT35459	SPT35349	0
SPT35459	SPT35354	0
SPT35459	SPT35356	0
SPT35459	SPT35357	0
SPT35459	SPT35360	0
SPT35459	SPT35365	0
SPT35459	SPT35366	0
SPT35459	SPT35368	0.002
SPT35459	SPT35369	0
SPT35459	SPT35370	0
SPT35459	SPT35373	0
SPT35459	SPT35377	0
SPT35459	SPT35378	0
SPT35459	SPT35379	0
SPT35459	SPT35382	0
SPT35459	SPT35384	0
SPT35459	SPT35390	0
SPT35459	SPT35407	0
SPT35459	SPT35410	0
SPT35459	SPT35414	0.013
SPT35459	SPT35417	0.018
SPT35459	SPT35418	0
SPT35459	SPT35419	0
SPT35459	SPT35423	0
SPT35459	SPT35436	0
SPT35459	SPT35444	0
SPT35459	SPT35316	0
SPT35459	SPT35331	0
SPT35459	SPT35339	0.022
SPT35459	SPT35364	0
SPT35459	SPT35372	0
SPT35459	SPT35405	0
SPT35459	SPT35424	0.009
SPT35459	SPT35427	0.003
SPT35459	SPT35437	0
SPT35459	SPT35440	0
SPT35459	SPT35467	0
SPT35459	SPT35468	0
SPT35459	SPT35470	0
SPT35459	SPT35472	0.002
SPT35459	SPT35475	0
SPT35459	SPT35476	0
SPT35459	SPT35485	0.022
SPT35459	SPT35499	0
SPT35459	SPT35780	0
SPT35471	SPT35509	0
SPT35471	SPT35551	0
