p1	p2	ibs
SPT35447	SPT35487	0.813233508700931
SPT35447	SPT35369	0.809403437815976
SPT35447	SPT35370	0.808271817170594
SPT35447	SPT35382	0.81051567239636
SPT35447	SPT35521	0.807535422928295
SPT35447	SPT35553	0.807653371127759
SPT35447	SPT35532	0.814390842191333
SPT35447	SPT35384	0.808998988877654
SPT35447	SPT35522	0.810540157798908
SPT35447	SPT35361	0.812196601941748
SPT35447	SPT35342	0.804096532143581
SPT35447	SPT35556	0.809518871837412
SPT35447	SPT35557	0.802452733776188
SPT35447	SPT35328	0.807851866842052
SPT35447	SPT35592	0.804460212873796
SPT35447	SPT35435	0.809914841849148
SPT35447	SPT35304	0.811582464311026
SPT35447	SPT35390	0.81304347826087
SPT35447	SPT35436	0.80543677458766
SPT35447	SPT35580	0.805434203516249
SPT35447	SPT35538	0.812202601247753
SPT35447	SPT35537	0.812985630654603
SPT35447	SPT35320	0.809683177153057
SPT35447	SPT35541	0.805057847855022
SPT35447	SPT35673	0.802749687535507
SPT35447	SPT35502	0.804112225260812
SPT35447	SPT35330	0.808381171067738
SPT35447	SPT35546	0.809328880749758
SPT35447	SPT35547	0.808260781534724
SPT35447	SPT35544	0.802877257422712
SPT35447	SPT35362	0.808291203235592
SPT35447	SPT35499	0.807602398617746
SPT35447	SPT35336	0.80948021564439
SPT35447	SPT35577	0.80385200202737
SPT35447	SPT35325	0.80399959187838
SPT35447	SPT35331	0.81061678463094
SPT35447	SPT35337	0.809832085777868
SPT35447	SPT35306	0.810540157798908
SPT35447	SPT35407	0.819184458160478
SPT35447	SPT35346	0.811324570273003
SPT35447	SPT35405	0.818699523710913
SPT35447	SPT35410	0.812924824997464
SPT35447	SPT35575	0.810444287015484
SPT35447	SPT35576	0.812443095599393
SPT35447	SPT35766	0.805912055543867
SPT35447	SPT35347	0.810053605744918
SPT35447	SPT35412	0.80534554360558
SPT35447	SPT35414	0.808840118962158
SPT35447	SPT35348	0.810463468933414
SPT35447	SPT35417	0.808538687759862
SPT35447	SPT35571	0.806045340050378
SPT35447	SPT35349	0.804651162790698
SPT35447	SPT35351	0.805331350892099
SPT35447	SPT35418	0.809055915721232
SPT35447	SPT35419	0.8139699918897
SPT35447	SPT35566	0.81302239191002
SPT35447	SPT35567	0.806154469075817
SPT35447	SPT35420	0.796997057928376
SPT35447	SPT35423	0.802206701083106
SPT35447	SPT35564	0.811980539225623
SPT35447	SPT35352	0.805965621840243
SPT35447	SPT35424	0.804469273743017
SPT35447	SPT35357	0.811229135053111
SPT35447	SPT35437	0.809697337787225
SPT35447	SPT35563	0.806976744186046
SPT35447	SPT35308	0.812366737739872
SPT35447	SPT35425	0.804163214581607
SPT35447	SPT35440	0.811142181114218
SPT35447	SPT35354	0.812133468149646
SPT35447	SPT35309	0.808159546466896
SPT35447	SPT35310	0.809446254071661
SPT35447	SPT35355	0.805524638267732
SPT35447	SPT35332	0.805482500505766
SPT35447	SPT35333	0.807462837496208
SPT35447	SPT35561	0.805518920564066
SPT35447	SPT35363	0.801456457975119
SPT35447	SPT35427	0.806209045010205
SPT35447	SPT35752	0.802214546932141
SPT35447	SPT35430	0.803873846465876
SPT35447	SPT35431	0.807833163784334
SPT35447	SPT35313	0.80690562980964
SPT35447	SPT35780	0.800904977375566
SPT35447	SPT35315	0.806050182112505
SPT35447	SPT35316	0.804776844448942
SPT35447	SPT35317	0.810198300283286
SPT35447	SPT35334	0.807766204874103
SPT35447	SPT35543	0.809483308526472
SPT35444	SPT35446	0.80868399339934
SPT35444	SPT35503	0.804913294797688
SPT35444	SPT35302	0.816483629272298
SPT35444	SPT35508	0.821076417419885
SPT35444	SPT35365	0.807447681575708
SPT35444	SPT35449	0.820811744386874
SPT35444	SPT35523	0.816160576428204
SPT35444	SPT35338	0.806521070439865
SPT35444	SPT35339	0.806085784864137
SPT35444	SPT35372	0.809235505387378
SPT35444	SPT35373	0.807301815198441
SPT35444	SPT35587	0.822349570200573
SPT35444	SPT35303	0.805357528623893
SPT35444	SPT35356	0.805888991484559
SPT35444	SPT35448	0.815553121577218
SPT35444	SPT35364	0.80629614438064
SPT35444	SPT35366	0.810588959573158
SPT35444	SPT35524	0.800492610837438
SPT35444	SPT35321	0.813769751693002
SPT35444	SPT35374	0.80781458311968
SPT35444	SPT35318	0.808678703323759
SPT35444	SPT35453	0.810777202072539
SPT35444	SPT35509	0.804377000103231
SPT35444	SPT35450	0.810718746451686
SPT35444	SPT35525	0.819038740418479
SPT35444	SPT35510	0.813766985965694
SPT35444	SPT35340	0.809597047062442
SPT35444	SPT35583	0.806871794871795
SPT35444	SPT35584	0.812312777605619
SPT35444	SPT35585	0.823051271363068
SPT35444	SPT35458	0.817939244663383
SPT35444	SPT35500	0.808434229427457
SPT35444	SPT35322	0.808019690288176
SPT35444	SPT35377	0.809391981954271
SPT35444	SPT35511	0.817919670442842
SPT35444	SPT35323	0.806871794871795
SPT35444	SPT35461	0.80634236453202
SPT35444	SPT35462	0.82070525341832
SPT35444	SPT35463	0.807980305672377
SPT35444	SPT35341	0.809460291401601
SPT35444	SPT35368	0.804060289141802
SPT35444	SPT35378	0.809699579616528
SPT35444	SPT35552	0.805761676123963
SPT35444	SPT35551	0.807504417420227
SPT35444	SPT35459	0.812628336755647
SPT35444	SPT35474	0.823257248611968
SPT35444	SPT35514	0.815079623009425
SPT35444	SPT35519	0.800588358898928
SPT35444	SPT35526	0.818499486125385
SPT35444	SPT35501	0.798561151079137
SPT35444	SPT35681	0.802154951257055
SPT35444	SPT35467	0.817491274892219
SPT35444	SPT35469	0.815389356893363
SPT35444	SPT35470	0.820754716981132
SPT35444	SPT35468	0.810277492291881
SPT35444	SPT35471	0.811537671935947
SPT35444	SPT35379	0.812781561026716
SPT35444	SPT35472	0.806358974358974
SPT35444	SPT35529	0.818032111980239
SPT35444	SPT35517	0.811376938083992
SPT35444	SPT35516	0.815123456790123
SPT35444	SPT35360	0.809274648609829
SPT35444	SPT35515	0.810766385863982
